datetime,agency_cd,site_no,datetime,136973_00060_00003,136973_00060_00003_cd
1946-04-01,USGS,8184500,1946-04-01,0.0,A
1946-04-02,USGS,8184500,1946-04-02,0.0,A
1946-04-03,USGS,8184500,1946-04-03,0.0,A
1946-04-04,USGS,8184500,1946-04-04,0.0,A
1946-04-05,USGS,8184500,1946-04-05,0.0,A
1946-04-06,USGS,8184500,1946-04-06,0.0,A
1946-04-07,USGS,8184500,1946-04-07,0.0,A
1946-04-08,USGS,8184500,1946-04-08,0.0,A
1946-04-09,USGS,8184500,1946-04-09,0.0,A
1946-04-10,USGS,8184500,1946-04-10,0.0,A
1946-04-11,USGS,8184500,1946-04-11,0.0,A
1946-04-12,USGS,8184500,1946-04-12,0.0,A
1946-04-13,USGS,8184500,1946-04-13,0.0,A
1946-04-14,USGS,8184500,1946-04-14,0.0,A
1946-04-15,USGS,8184500,1946-04-15,0.0,A
1946-04-16,USGS,8184500,1946-04-16,0.0,A
1946-04-17,USGS,8184500,1946-04-17,0.0,A
1946-04-18,USGS,8184500,1946-04-18,0.0,A
1946-04-19,USGS,8184500,1946-04-19,0.0,A
1946-04-20,USGS,8184500,1946-04-20,0.0,A
1946-04-21,USGS,8184500,1946-04-21,0.0,A
1946-04-22,USGS,8184500,1946-04-22,0.0,A
1946-04-23,USGS,8184500,1946-04-23,0.0,A
1946-04-24,USGS,8184500,1946-04-24,0.0,A
1946-04-25,USGS,8184500,1946-04-25,0.0,A
1946-04-26,USGS,8184500,1946-04-26,0.0,A
1946-04-27,USGS,8184500,1946-04-27,0.0,A
1946-04-28,USGS,8184500,1946-04-28,0.0,A
1946-04-29,USGS,8184500,1946-04-29,0.0,A
1946-04-30,USGS,8184500,1946-04-30,0.0,A
1946-06-01,USGS,8184500,1946-06-01,0.0,A
1946-06-02,USGS,8184500,1946-06-02,0.0,A
1946-06-03,USGS,8184500,1946-06-03,0.0,A
1946-06-04,USGS,8184500,1946-06-04,0.0,A
1946-06-05,USGS,8184500,1946-06-05,0.0,A
1946-06-06,USGS,8184500,1946-06-06,0.0,A
1946-06-07,USGS,8184500,1946-06-07,0.0,A
1946-06-08,USGS,8184500,1946-06-08,0.0,A
1946-06-09,USGS,8184500,1946-06-09,0.0,A
1946-06-10,USGS,8184500,1946-06-10,0.0,A
1946-06-11,USGS,8184500,1946-06-11,0.0,A
1946-06-12,USGS,8184500,1946-06-12,0.0,A
1946-06-13,USGS,8184500,1946-06-13,0.0,A
1946-06-14,USGS,8184500,1946-06-14,0.0,A
1946-06-15,USGS,8184500,1946-06-15,0.0,A
1946-06-16,USGS,8184500,1946-06-16,0.0,A
1946-06-17,USGS,8184500,1946-06-17,0.0,A
1946-06-18,USGS,8184500,1946-06-18,0.0,A
1946-06-19,USGS,8184500,1946-06-19,0.0,A
1946-06-20,USGS,8184500,1946-06-20,0.0,A
1946-06-21,USGS,8184500,1946-06-21,0.0,A
1946-06-22,USGS,8184500,1946-06-22,0.0,A
1946-06-23,USGS,8184500,1946-06-23,0.0,A
1946-06-24,USGS,8184500,1946-06-24,0.0,A
1946-06-25,USGS,8184500,1946-06-25,0.0,A
1946-06-26,USGS,8184500,1946-06-26,0.0,A
1946-06-27,USGS,8184500,1946-06-27,0.0,A
1946-06-28,USGS,8184500,1946-06-28,0.0,A
1946-06-29,USGS,8184500,1946-06-29,0.0,A
1946-06-30,USGS,8184500,1946-06-30,0.0,A
1946-07-01,USGS,8184500,1946-07-01,0.0,A
1946-07-02,USGS,8184500,1946-07-02,0.0,A
1946-07-03,USGS,8184500,1946-07-03,0.0,A
1946-07-04,USGS,8184500,1946-07-04,0.0,A
1946-07-05,USGS,8184500,1946-07-05,0.0,A
1946-07-06,USGS,8184500,1946-07-06,0.0,A
1946-07-07,USGS,8184500,1946-07-07,0.0,A
1946-07-08,USGS,8184500,1946-07-08,0.0,A
1946-07-09,USGS,8184500,1946-07-09,0.0,A
1946-07-10,USGS,8184500,1946-07-10,0.0,A
1946-07-11,USGS,8184500,1946-07-11,0.0,A
1946-07-12,USGS,8184500,1946-07-12,0.0,A
1946-07-13,USGS,8184500,1946-07-13,0.0,A
1946-07-14,USGS,8184500,1946-07-14,0.0,A
1946-07-15,USGS,8184500,1946-07-15,0.0,A
1946-07-16,USGS,8184500,1946-07-16,0.0,A
1946-07-17,USGS,8184500,1946-07-17,0.0,A
1946-07-18,USGS,8184500,1946-07-18,0.0,A
1946-07-19,USGS,8184500,1946-07-19,0.0,A
1946-07-20,USGS,8184500,1946-07-20,0.0,A
1946-07-21,USGS,8184500,1946-07-21,0.0,A
1946-07-22,USGS,8184500,1946-07-22,0.0,A
1946-07-23,USGS,8184500,1946-07-23,0.0,A
1946-07-24,USGS,8184500,1946-07-24,0.0,A
1946-07-25,USGS,8184500,1946-07-25,0.0,A
1946-07-26,USGS,8184500,1946-07-26,0.0,A
1946-07-27,USGS,8184500,1946-07-27,0.0,A
1946-07-28,USGS,8184500,1946-07-28,0.0,A
1946-07-29,USGS,8184500,1946-07-29,0.0,A
1946-07-30,USGS,8184500,1946-07-30,0.0,A
1946-07-31,USGS,8184500,1946-07-31,0.0,A
1946-08-01,USGS,8184500,1946-08-01,0.0,A
1946-08-02,USGS,8184500,1946-08-02,0.0,A
1946-08-03,USGS,8184500,1946-08-03,0.0,A
1946-08-04,USGS,8184500,1946-08-04,0.0,A
1946-08-05,USGS,8184500,1946-08-05,0.0,A
1946-08-06,USGS,8184500,1946-08-06,0.0,A
1946-08-07,USGS,8184500,1946-08-07,0.0,A
1946-08-08,USGS,8184500,1946-08-08,0.0,A
1946-08-09,USGS,8184500,1946-08-09,0.0,A
1946-08-10,USGS,8184500,1946-08-10,0.0,A
1946-08-11,USGS,8184500,1946-08-11,0.0,A
1946-08-12,USGS,8184500,1946-08-12,0.0,A
1946-08-13,USGS,8184500,1946-08-13,0.0,A
1946-08-14,USGS,8184500,1946-08-14,0.0,A
1946-08-15,USGS,8184500,1946-08-15,0.0,A
1946-08-16,USGS,8184500,1946-08-16,0.0,A
1946-08-17,USGS,8184500,1946-08-17,0.0,A
1946-08-18,USGS,8184500,1946-08-18,0.0,A
1946-08-19,USGS,8184500,1946-08-19,0.0,A
1946-08-20,USGS,8184500,1946-08-20,0.0,A
1946-08-21,USGS,8184500,1946-08-21,0.0,A
1946-08-22,USGS,8184500,1946-08-22,0.0,A
1946-08-23,USGS,8184500,1946-08-23,0.0,A
1946-08-24,USGS,8184500,1946-08-24,0.0,A
1946-08-25,USGS,8184500,1946-08-25,0.0,A
1946-08-26,USGS,8184500,1946-08-26,0.0,A
1946-08-27,USGS,8184500,1946-08-27,0.0,A
1946-08-28,USGS,8184500,1946-08-28,0.0,A
1946-08-29,USGS,8184500,1946-08-29,0.0,A
1946-08-30,USGS,8184500,1946-08-30,0.0,A
1946-08-31,USGS,8184500,1946-08-31,0.0,A
1946-10-01,USGS,8184500,1946-10-01,47.0,A
1946-10-02,USGS,8184500,1946-10-02,27.0,A
1946-10-03,USGS,8184500,1946-10-03,16.0,A
1946-10-04,USGS,8184500,1946-10-04,15.0,A
1946-10-05,USGS,8184500,1946-10-05,13.0,A
1946-10-06,USGS,8184500,1946-10-06,9.2,A
1946-10-07,USGS,8184500,1946-10-07,7.7,A
1946-10-08,USGS,8184500,1946-10-08,7.0,A
1946-10-09,USGS,8184500,1946-10-09,6.6,A
1946-10-10,USGS,8184500,1946-10-10,5.4,A
1946-10-11,USGS,8184500,1946-10-11,54.0,A
1946-10-12,USGS,8184500,1946-10-12,49.0,A
1946-10-13,USGS,8184500,1946-10-13,23.0,A
1946-10-14,USGS,8184500,1946-10-14,14.0,A
1946-10-15,USGS,8184500,1946-10-15,8.0,A
1946-10-16,USGS,8184500,1946-10-16,5.1,A
1946-10-17,USGS,8184500,1946-10-17,1.8,A
1946-10-18,USGS,8184500,1946-10-18,0.5,A
1946-10-19,USGS,8184500,1946-10-19,0.0,A
1946-10-20,USGS,8184500,1946-10-20,0.0,A
1946-10-21,USGS,8184500,1946-10-21,0.0,A
1946-10-22,USGS,8184500,1946-10-22,0.0,A
1946-10-23,USGS,8184500,1946-10-23,0.0,A
1946-10-24,USGS,8184500,1946-10-24,0.0,A
1946-10-25,USGS,8184500,1946-10-25,0.0,A
1946-10-26,USGS,8184500,1946-10-26,0.0,A
1946-10-27,USGS,8184500,1946-10-27,0.0,A
1946-10-28,USGS,8184500,1946-10-28,0.0,A
1946-10-29,USGS,8184500,1946-10-29,0.0,A
1946-10-30,USGS,8184500,1946-10-30,0.0,A
1946-10-31,USGS,8184500,1946-10-31,0.0,A
1946-12-01,USGS,8184500,1946-12-01,0.0,A
1946-12-02,USGS,8184500,1946-12-02,0.0,A
1946-12-03,USGS,8184500,1946-12-03,0.0,A
1946-12-04,USGS,8184500,1946-12-04,0.0,A
1946-12-05,USGS,8184500,1946-12-05,0.0,A
1946-12-06,USGS,8184500,1946-12-06,0.0,A
1946-12-07,USGS,8184500,1946-12-07,0.0,A
1946-12-08,USGS,8184500,1946-12-08,0.0,A
1946-12-09,USGS,8184500,1946-12-09,0.0,A
1946-12-10,USGS,8184500,1946-12-10,0.0,A
1946-12-11,USGS,8184500,1946-12-11,14.0,A
1946-12-12,USGS,8184500,1946-12-12,134.0,A
1946-12-13,USGS,8184500,1946-12-13,81.0,A
1946-12-14,USGS,8184500,1946-12-14,42.0,A
1946-12-15,USGS,8184500,1946-12-15,27.0,A
1946-12-16,USGS,8184500,1946-12-16,20.0,A
1946-12-17,USGS,8184500,1946-12-17,16.0,A
1946-12-18,USGS,8184500,1946-12-18,13.0,A
1946-12-19,USGS,8184500,1946-12-19,11.0,A
1946-12-20,USGS,8184500,1946-12-20,9.6,A
1946-12-21,USGS,8184500,1946-12-21,7.4,A
1946-12-22,USGS,8184500,1946-12-22,6.0,A
1946-12-23,USGS,8184500,1946-12-23,5.1,A
1946-12-24,USGS,8184500,1946-12-24,4.8,A
1946-12-25,USGS,8184500,1946-12-25,4.3,A
1946-12-26,USGS,8184500,1946-12-26,3.8,A
1946-12-27,USGS,8184500,1946-12-27,3.2,A
1946-12-28,USGS,8184500,1946-12-28,2.2,A
1946-12-29,USGS,8184500,1946-12-29,1.4,A
1946-12-30,USGS,8184500,1946-12-30,0.6,A
1946-12-31,USGS,8184500,1946-12-31,0.6,A
1947-01-01,USGS,8184500,1947-01-01,1.0,A
1947-01-02,USGS,8184500,1947-01-02,1.2,A
1947-01-03,USGS,8184500,1947-01-03,0.6,A
1947-01-04,USGS,8184500,1947-01-04,0.3,A
1947-01-05,USGS,8184500,1947-01-05,0.0,A
1947-01-06,USGS,8184500,1947-01-06,0.0,A
1947-01-07,USGS,8184500,1947-01-07,0.0,A
1947-01-08,USGS,8184500,1947-01-08,0.0,A
1947-01-09,USGS,8184500,1947-01-09,0.0,A
1947-01-10,USGS,8184500,1947-01-10,0.4,A
1947-01-11,USGS,8184500,1947-01-11,0.6,A
1947-01-12,USGS,8184500,1947-01-12,0.8,A
1947-01-13,USGS,8184500,1947-01-13,1.5,A
1947-01-14,USGS,8184500,1947-01-14,1.6,A
1947-01-15,USGS,8184500,1947-01-15,1.2,A
1947-01-16,USGS,8184500,1947-01-16,1.0,A
1947-01-17,USGS,8184500,1947-01-17,3.0,A
1947-01-18,USGS,8184500,1947-01-18,6.3,A
1947-01-19,USGS,8184500,1947-01-19,7.0,A
1947-01-20,USGS,8184500,1947-01-20,8.0,A
1947-01-21,USGS,8184500,1947-01-21,53.0,A
1947-01-22,USGS,8184500,1947-01-22,63.0,A
1947-01-23,USGS,8184500,1947-01-23,57.0,A
1947-01-24,USGS,8184500,1947-01-24,57.0,A
1947-01-25,USGS,8184500,1947-01-25,50.0,A
1947-01-26,USGS,8184500,1947-01-26,39.0,A
1947-01-27,USGS,8184500,1947-01-27,29.0,A
1947-01-28,USGS,8184500,1947-01-28,22.0,A
1947-01-29,USGS,8184500,1947-01-29,18.0,A
1947-01-30,USGS,8184500,1947-01-30,12.0,A
1947-01-31,USGS,8184500,1947-01-31,8.0,A
1947-02-01,USGS,8184500,1947-02-01,6.0,A
1947-02-02,USGS,8184500,1947-02-02,4.6,A
1947-02-03,USGS,8184500,1947-02-03,4.0,A
1947-02-04,USGS,8184500,1947-02-04,3.6,A
1947-02-05,USGS,8184500,1947-02-05,3.0,A
1947-02-06,USGS,8184500,1947-02-06,3.0,A
1947-02-07,USGS,8184500,1947-02-07,2.4,A
1947-02-08,USGS,8184500,1947-02-08,2.0,A
1947-02-09,USGS,8184500,1947-02-09,1.4,A
1947-02-10,USGS,8184500,1947-02-10,1.0,A
1947-02-11,USGS,8184500,1947-02-11,0.6,A
1947-02-12,USGS,8184500,1947-02-12,0.4,A
1947-02-13,USGS,8184500,1947-02-13,0.0,A
1947-02-14,USGS,8184500,1947-02-14,0.0,A
1947-02-15,USGS,8184500,1947-02-15,0.0,A
1947-02-16,USGS,8184500,1947-02-16,0.0,A
1947-02-17,USGS,8184500,1947-02-17,0.0,A
1947-02-18,USGS,8184500,1947-02-18,0.0,A
1947-02-19,USGS,8184500,1947-02-19,0.0,A
1947-02-20,USGS,8184500,1947-02-20,0.0,A
1947-02-21,USGS,8184500,1947-02-21,0.0,A
1947-02-22,USGS,8184500,1947-02-22,0.0,A
1947-02-23,USGS,8184500,1947-02-23,0.0,A
1947-02-24,USGS,8184500,1947-02-24,0.0,A
1947-02-25,USGS,8184500,1947-02-25,0.0,A
1947-02-26,USGS,8184500,1947-02-26,0.0,A
1947-02-27,USGS,8184500,1947-02-27,0.0,A
1947-02-28,USGS,8184500,1947-02-28,0.0,A
1947-03-01,USGS,8184500,1947-03-01,0.0,A
1947-03-02,USGS,8184500,1947-03-02,0.0,A
1947-03-03,USGS,8184500,1947-03-03,0.0,A
1947-03-04,USGS,8184500,1947-03-04,0.0,A
1947-03-05,USGS,8184500,1947-03-05,0.0,A
1947-03-06,USGS,8184500,1947-03-06,0.0,A
1947-03-07,USGS,8184500,1947-03-07,0.0,A
1947-03-08,USGS,8184500,1947-03-08,0.0,A
1947-03-09,USGS,8184500,1947-03-09,0.0,A
1947-03-10,USGS,8184500,1947-03-10,0.0,A
1947-03-11,USGS,8184500,1947-03-11,0.0,A
1947-03-12,USGS,8184500,1947-03-12,0.0,A
1947-03-13,USGS,8184500,1947-03-13,0.0,A
1947-03-14,USGS,8184500,1947-03-14,0.0,A
1947-03-15,USGS,8184500,1947-03-15,0.0,A
1947-03-16,USGS,8184500,1947-03-16,0.0,A
1947-03-17,USGS,8184500,1947-03-17,0.0,A
1947-03-18,USGS,8184500,1947-03-18,0.0,A
1947-03-19,USGS,8184500,1947-03-19,0.0,A
1947-03-20,USGS,8184500,1947-03-20,0.0,A
1947-03-21,USGS,8184500,1947-03-21,0.0,A
1947-03-22,USGS,8184500,1947-03-22,0.0,A
1947-03-23,USGS,8184500,1947-03-23,0.0,A
1947-03-24,USGS,8184500,1947-03-24,0.0,A
1947-03-25,USGS,8184500,1947-03-25,0.0,A
1947-03-26,USGS,8184500,1947-03-26,0.0,A
1947-03-27,USGS,8184500,1947-03-27,0.0,A
1947-03-28,USGS,8184500,1947-03-28,0.0,A
1947-03-29,USGS,8184500,1947-03-29,0.0,A
1947-03-30,USGS,8184500,1947-03-30,0.0,A
1947-03-31,USGS,8184500,1947-03-31,0.0,A
1947-04-01,USGS,8184500,1947-04-01,0.0,A
1947-04-02,USGS,8184500,1947-04-02,0.0,A
1947-04-03,USGS,8184500,1947-04-03,0.0,A
1947-04-04,USGS,8184500,1947-04-04,0.0,A
1947-04-05,USGS,8184500,1947-04-05,0.0,A
1947-04-06,USGS,8184500,1947-04-06,0.0,A
1947-04-07,USGS,8184500,1947-04-07,0.0,A
1947-04-08,USGS,8184500,1947-04-08,0.0,A
1947-04-09,USGS,8184500,1947-04-09,0.0,A
1947-04-10,USGS,8184500,1947-04-10,0.0,A
1947-04-11,USGS,8184500,1947-04-11,0.0,A
1947-04-12,USGS,8184500,1947-04-12,0.0,A
1947-04-13,USGS,8184500,1947-04-13,0.0,A
1947-04-14,USGS,8184500,1947-04-14,0.0,A
1947-04-15,USGS,8184500,1947-04-15,0.0,A
1947-04-16,USGS,8184500,1947-04-16,0.0,A
1947-04-17,USGS,8184500,1947-04-17,0.0,A
1947-04-18,USGS,8184500,1947-04-18,0.0,A
1947-04-19,USGS,8184500,1947-04-19,0.0,A
1947-04-20,USGS,8184500,1947-04-20,0.0,A
1947-04-21,USGS,8184500,1947-04-21,0.0,A
1947-04-22,USGS,8184500,1947-04-22,0.0,A
1947-04-23,USGS,8184500,1947-04-23,0.0,A
1947-04-24,USGS,8184500,1947-04-24,0.0,A
1947-04-25,USGS,8184500,1947-04-25,0.0,A
1947-04-26,USGS,8184500,1947-04-26,0.0,A
1947-04-27,USGS,8184500,1947-04-27,0.0,A
1947-04-28,USGS,8184500,1947-04-28,0.0,A
1947-04-29,USGS,8184500,1947-04-29,0.0,A
1947-04-30,USGS,8184500,1947-04-30,0.0,A
1947-05-01,USGS,8184500,1947-05-01,0.0,A
1947-05-02,USGS,8184500,1947-05-02,0.0,A
1947-05-03,USGS,8184500,1947-05-03,0.0,A
1947-05-04,USGS,8184500,1947-05-04,0.0,A
1947-05-05,USGS,8184500,1947-05-05,0.0,A
1947-05-06,USGS,8184500,1947-05-06,0.0,A
1947-05-07,USGS,8184500,1947-05-07,0.0,A
1947-05-08,USGS,8184500,1947-05-08,0.0,A
1947-05-09,USGS,8184500,1947-05-09,0.0,A
1947-05-10,USGS,8184500,1947-05-10,0.0,A
1947-05-11,USGS,8184500,1947-05-11,0.0,A
1947-05-12,USGS,8184500,1947-05-12,0.0,A
1947-05-13,USGS,8184500,1947-05-13,0.0,A
1947-05-14,USGS,8184500,1947-05-14,0.0,A
1947-05-15,USGS,8184500,1947-05-15,0.0,A
1947-05-16,USGS,8184500,1947-05-16,0.0,A
1947-05-17,USGS,8184500,1947-05-17,0.0,A
1947-05-18,USGS,8184500,1947-05-18,0.0,A
1947-05-19,USGS,8184500,1947-05-19,0.0,A
1947-05-20,USGS,8184500,1947-05-20,0.0,A
1947-05-21,USGS,8184500,1947-05-21,0.0,A
1947-05-22,USGS,8184500,1947-05-22,0.0,A
1947-05-23,USGS,8184500,1947-05-23,0.0,A
1947-05-24,USGS,8184500,1947-05-24,0.0,A
1947-05-25,USGS,8184500,1947-05-25,0.0,A
1947-05-26,USGS,8184500,1947-05-26,0.0,A
1947-05-27,USGS,8184500,1947-05-27,0.0,A
1947-05-28,USGS,8184500,1947-05-28,0.0,A
1947-05-29,USGS,8184500,1947-05-29,0.0,A
1947-05-30,USGS,8184500,1947-05-30,0.0,A
1947-05-31,USGS,8184500,1947-05-31,0.0,A
1947-06-01,USGS,8184500,1947-06-01,0.0,A
1947-06-02,USGS,8184500,1947-06-02,0.0,A
1947-06-03,USGS,8184500,1947-06-03,0.0,A
1947-06-04,USGS,8184500,1947-06-04,0.0,A
1947-06-05,USGS,8184500,1947-06-05,0.0,A
1947-06-06,USGS,8184500,1947-06-06,0.0,A
1947-06-07,USGS,8184500,1947-06-07,0.0,A
1947-06-08,USGS,8184500,1947-06-08,0.0,A
1947-06-09,USGS,8184500,1947-06-09,0.0,A
1947-06-10,USGS,8184500,1947-06-10,0.0,A
1947-06-11,USGS,8184500,1947-06-11,0.0,A
1947-06-12,USGS,8184500,1947-06-12,0.0,A
1947-06-13,USGS,8184500,1947-06-13,0.0,A
1947-06-14,USGS,8184500,1947-06-14,0.0,A
1947-06-15,USGS,8184500,1947-06-15,0.0,A
1947-06-16,USGS,8184500,1947-06-16,0.0,A
1947-06-17,USGS,8184500,1947-06-17,0.0,A
1947-06-18,USGS,8184500,1947-06-18,0.0,A
1947-06-19,USGS,8184500,1947-06-19,0.0,A
1947-06-20,USGS,8184500,1947-06-20,0.0,A
1947-06-21,USGS,8184500,1947-06-21,0.0,A
1947-06-22,USGS,8184500,1947-06-22,0.0,A
1947-06-23,USGS,8184500,1947-06-23,0.0,A
1947-06-24,USGS,8184500,1947-06-24,0.0,A
1947-06-25,USGS,8184500,1947-06-25,0.0,A
1947-06-26,USGS,8184500,1947-06-26,0.0,A
1947-06-27,USGS,8184500,1947-06-27,0.0,A
1947-06-28,USGS,8184500,1947-06-28,0.0,A
1947-06-29,USGS,8184500,1947-06-29,0.0,A
1947-06-30,USGS,8184500,1947-06-30,0.0,A
1947-07-01,USGS,8184500,1947-07-01,0.0,A
1947-07-02,USGS,8184500,1947-07-02,0.0,A
1947-07-03,USGS,8184500,1947-07-03,0.0,A
1947-07-04,USGS,8184500,1947-07-04,0.0,A
1947-07-05,USGS,8184500,1947-07-05,0.0,A
1947-07-06,USGS,8184500,1947-07-06,0.0,A
1947-07-07,USGS,8184500,1947-07-07,0.0,A
1947-07-08,USGS,8184500,1947-07-08,0.0,A
1947-07-09,USGS,8184500,1947-07-09,0.0,A
1947-07-10,USGS,8184500,1947-07-10,0.0,A
1947-07-11,USGS,8184500,1947-07-11,0.0,A
1947-07-12,USGS,8184500,1947-07-12,0.0,A
1947-07-13,USGS,8184500,1947-07-13,0.0,A
1947-07-14,USGS,8184500,1947-07-14,0.0,A
1947-07-15,USGS,8184500,1947-07-15,0.0,A
1947-07-16,USGS,8184500,1947-07-16,0.0,A
1947-07-17,USGS,8184500,1947-07-17,0.0,A
1947-07-18,USGS,8184500,1947-07-18,0.0,A
1947-07-19,USGS,8184500,1947-07-19,0.0,A
1947-07-20,USGS,8184500,1947-07-20,0.0,A
1947-07-21,USGS,8184500,1947-07-21,0.0,A
1947-07-22,USGS,8184500,1947-07-22,0.0,A
1947-07-23,USGS,8184500,1947-07-23,0.0,A
1947-07-24,USGS,8184500,1947-07-24,0.0,A
1947-07-25,USGS,8184500,1947-07-25,0.0,A
1947-07-26,USGS,8184500,1947-07-26,0.0,A
1947-07-27,USGS,8184500,1947-07-27,0.0,A
1947-07-28,USGS,8184500,1947-07-28,0.0,A
1947-07-29,USGS,8184500,1947-07-29,0.0,A
1947-07-30,USGS,8184500,1947-07-30,0.0,A
1947-07-31,USGS,8184500,1947-07-31,0.0,A
1947-08-01,USGS,8184500,1947-08-01,0.0,A
1947-08-02,USGS,8184500,1947-08-02,0.0,A
1947-08-03,USGS,8184500,1947-08-03,0.0,A
1947-08-04,USGS,8184500,1947-08-04,0.0,A
1947-08-05,USGS,8184500,1947-08-05,0.0,A
1947-08-06,USGS,8184500,1947-08-06,0.0,A
1947-08-07,USGS,8184500,1947-08-07,0.0,A
1947-08-08,USGS,8184500,1947-08-08,0.0,A
1947-08-09,USGS,8184500,1947-08-09,0.0,A
1947-08-10,USGS,8184500,1947-08-10,0.0,A
1947-08-11,USGS,8184500,1947-08-11,0.0,A
1947-08-12,USGS,8184500,1947-08-12,0.0,A
1947-08-13,USGS,8184500,1947-08-13,0.0,A
1947-08-14,USGS,8184500,1947-08-14,0.0,A
1947-08-15,USGS,8184500,1947-08-15,0.0,A
1947-08-16,USGS,8184500,1947-08-16,0.0,A
1947-08-17,USGS,8184500,1947-08-17,0.0,A
1947-08-18,USGS,8184500,1947-08-18,0.0,A
1947-08-19,USGS,8184500,1947-08-19,0.0,A
1947-08-20,USGS,8184500,1947-08-20,0.0,A
1947-08-21,USGS,8184500,1947-08-21,0.0,A
1947-08-22,USGS,8184500,1947-08-22,0.0,A
1947-08-23,USGS,8184500,1947-08-23,0.0,A
1947-08-24,USGS,8184500,1947-08-24,0.0,A
1947-08-25,USGS,8184500,1947-08-25,0.0,A
1947-08-26,USGS,8184500,1947-08-26,0.0,A
1947-08-27,USGS,8184500,1947-08-27,0.0,A
1947-08-28,USGS,8184500,1947-08-28,0.0,A
1947-08-29,USGS,8184500,1947-08-29,0.0,A
1947-08-30,USGS,8184500,1947-08-30,0.0,A
1947-08-31,USGS,8184500,1947-08-31,0.0,A
1947-09-01,USGS,8184500,1947-09-01,0.0,A
1947-09-02,USGS,8184500,1947-09-02,0.0,A
1947-09-03,USGS,8184500,1947-09-03,0.0,A
1947-09-04,USGS,8184500,1947-09-04,0.0,A
1947-09-05,USGS,8184500,1947-09-05,0.0,A
1947-09-06,USGS,8184500,1947-09-06,0.0,A
1947-09-07,USGS,8184500,1947-09-07,0.0,A
1947-09-08,USGS,8184500,1947-09-08,0.0,A
1947-09-09,USGS,8184500,1947-09-09,0.0,A
1947-09-10,USGS,8184500,1947-09-10,0.0,A
1947-09-11,USGS,8184500,1947-09-11,0.0,A
1947-09-12,USGS,8184500,1947-09-12,0.0,A
1947-09-13,USGS,8184500,1947-09-13,0.0,A
1947-09-14,USGS,8184500,1947-09-14,0.0,A
1947-09-15,USGS,8184500,1947-09-15,0.0,A
1947-09-16,USGS,8184500,1947-09-16,0.0,A
1947-09-17,USGS,8184500,1947-09-17,0.0,A
1947-09-18,USGS,8184500,1947-09-18,0.0,A
1947-09-19,USGS,8184500,1947-09-19,0.0,A
1947-09-20,USGS,8184500,1947-09-20,0.0,A
1947-09-21,USGS,8184500,1947-09-21,0.0,A
1947-09-22,USGS,8184500,1947-09-22,0.0,A
1947-09-23,USGS,8184500,1947-09-23,0.0,A
1947-09-24,USGS,8184500,1947-09-24,0.0,A
1947-09-25,USGS,8184500,1947-09-25,0.0,A
1947-09-26,USGS,8184500,1947-09-26,0.0,A
1947-09-27,USGS,8184500,1947-09-27,0.0,A
1947-09-28,USGS,8184500,1947-09-28,0.0,A
1947-09-29,USGS,8184500,1947-09-29,0.0,A
1947-09-30,USGS,8184500,1947-09-30,0.0,A
1947-10-01,USGS,8184500,1947-10-01,0.0,A
1947-10-02,USGS,8184500,1947-10-02,0.0,A
1947-10-03,USGS,8184500,1947-10-03,0.0,A
1947-10-04,USGS,8184500,1947-10-04,0.0,A
1947-10-05,USGS,8184500,1947-10-05,0.0,A
1947-10-06,USGS,8184500,1947-10-06,0.0,A
1947-10-07,USGS,8184500,1947-10-07,0.0,A
1947-10-08,USGS,8184500,1947-10-08,0.0,A
1947-10-09,USGS,8184500,1947-10-09,0.0,A
1947-10-10,USGS,8184500,1947-10-10,0.0,A
1947-10-11,USGS,8184500,1947-10-11,0.0,A
1947-10-12,USGS,8184500,1947-10-12,0.0,A
